NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;Si;;;497.0602;224.3871;158;19567.1315;11854;1924;1.9407;48;0;35;102;56;110;57;7357;1248;94;143
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;--;;;0.0000;0.0000;478;0.0000;9604;40;2.3292;70;16;5;249;229;215;7;9497;34;1714;1052
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;Si;;;556.7074;262.7318;185;20463.2601;12414;1995;2.2053;50;0;37;128;57;142;58;7756;1313;104;146
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;No;222.625;0.866428;256.9459;111.4914;8627;1911.7544;88472;59456;7.4106;705;137;114;3238;5389;3560;5448;69391;52164;107508;145412
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;No;226.757;0.863359;262.6452;114.6060;8868;1919.7023;88846;59697;7.5666;745;147;119;3280;5588;3613;5626;69689;52414;108556;143519
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;--;;;0.0000;0.0000;491;0.0000;9660;41;2.3469;69;17;4;254;237;219;6;9552;35;1737;1052
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;Si;;;569.4890;271.2528;191;20483.1425;12501;1922;2.2682;57;0;38;129;62;143;63;7813;1269;103;146
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;No;230.072;0.855191;269.0294;117.3587;9081;1930.6744;89290;60102;7.6415;787;158;125;3321;5760;3601;5784;69981;52835;121639;138181
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;--;;;0.0000;0.0000;503;0.0000;9766;42;2.4242;67;14;5;264;239;227;8;9658;36;1788;1044
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;Si;;;552.4469;242.8494;171;20718.8911;12648;1941;2.0093;59;0;44;108;63;121;64;7879;1328;104;147
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;--;;;0.0000;0.0000;516;0.0000;9814;38;2.4987;64;11;5;266;250;236;7;9691;34;2098;1043
